english_name	german_name	german_search_aliases	polish_name	polish_search_aliases
Beef steak, lean (sirloin), raw	Rindersteak, mager (Hüfte), roh	Rindfleisch; Steak; Hüftsteak; Roastbeef	Stek wołowy, chudy (rostbef), surowy	wołowina; stek; rostbef
Beef steak, lean (sirloin), cooked	Rindersteak, mager, gegart	Rindfleisch gebraten; Steak	Stek wołowy, chudy, gotowany	wołowina smażona; stek
Beef, ribeye, cooked	Ribeye-Steak, gegart	Entrecôte; Hochrippe	Antrykot (ribeye), gotowany	stek ribeye; antrykot
Ground beef, 90% lean, raw	Rinderhackfleisch, 90% mager, roh	Hackfleisch; Rinderhack; Faschiertes	Mielona wołowina, 90% chuda, surowa	mięso mielone; wołowina mielona
Ground beef, 90% lean, cooked	Rinderhackfleisch, gegart	Hackfleisch gebraten	Mielona wołowina, gotowana	mięso mielone smażone
Beef jerky	Beef Jerky	Trockenfleisch; Dörrfleisch	Suszona wołowina	jerky; susz mięsny
Beef liver, cooked	Rinderleber, gegart	Leber	Wątróbka wołowa, gotowana	wątróbka; wątroba
Pork loin, raw	Schweinelende, roh	Schweinefleisch; Schweinerücken; Kotelett	Schab wieprzowy, surowy	wieprzowina; schab
Pork loin, cooked	Schweinelende, gegart	Schweinebraten	Schab wieprzowy, gotowany	schab pieczony
Pork tenderloin, raw	Schweinefilet, roh	Schweinelende; Filet	Polędwiczka wieprzowa, surowa	polędwiczka
Ham, cured, lean	Kochschinken, mager	Schinken	Szynka, chuda	szynka wieprzowa; wędlina
Bacon, cooked	Speck, gebraten	Frühstücksspeck; Bacon	Boczek, smażony	bekon; boczek
Pork sausage, cooked	Bratwurst, gegart	Schweinswurst; Wurst	Kiełbasa wieprzowa, smażona	kiełbasa; kiełbaska
Hot dog, beef	Hot Dog, Rind	Wiener Würstchen; Frankfurter	Parówka wołowa	parówka; hot dog
Lamb, lean, cooked	Lammfleisch, mager, gegart	Lamm	Jagnięcina, chuda, gotowana	jagnięcina; baranina
Duck breast, skinless, cooked	Entenbrust, ohne Haut, gegart	Ente	Pierś z kaczki, bez skóry	kaczka; filet z kaczki
Venison, cooked	Hirschfleisch, gegart	Wild; Wildfleisch; Reh	Dziczyzna (jeleń), gotowana	dziczyzna; sarnina; jeleń
Salmon, Atlantic, farmed, raw	Lachs, Zucht, roh	Lachs; Atlantiklachs	Łosoś atlantycki, hodowlany, surowy	łosoś
Salmon, Atlantic, farmed, cooked	Lachs, Zucht, gegart	Lachs gebraten	Łosoś, hodowlany, gotowany	łosoś pieczony
Salmon, smoked	Räucherlachs	Lachs geräuchert; Graved Lachs	Łosoś wędzony	wędzony łosoś
Tuna, white (albacore), canned in water	Thunfisch, weiß, in Wasser	Thunfisch aus der Dose; Thunfisch	Tuńczyk biały, w wodzie	tuńczyk; tuńczyk z puszki
Tuna, light, canned in water	Thunfisch, hell, in Wasser	Thunfisch Dose; Thunfisch	Tuńczyk jasny, w wodzie	tuńczyk w puszce; tuńczyk
Tuna, yellowfin, raw	Gelbflossenthun, roh	Thunfischsteak; Ahi	Tuńczyk żółtopłetwy, surowy	stek z tuńczyka
Cod, raw	Kabeljau, roh	Dorsch	Dorsz, surowy	dorsz
Cod, cooked	Kabeljau, gegart	Dorsch gekocht	Dorsz, gotowany	dorsz
Tilapia, raw	Tilapia, roh	Buntbarsch	Tilapia, surowa	tilapia
Trout, raw	Forelle, roh	Forelle	Pstrąg, surowy	pstrąg
Mackerel, raw	Makrele, roh	Makrele	Makrela, surowa	makrela
Sardines, canned in oil	Sardinen in Öl	Ölsardinen	Sardynki w oleju	sardynki
Shrimp, raw	Garnelen, roh	Shrimps; Krabben	Krewetki, surowe	krewetki
Shrimp, cooked	Garnelen, gegart	Shrimps gekocht	Krewetki, gotowane	krewetki
Crab, blue, cooked	Krabbenfleisch, gegart	Krebsfleisch; Taschenkrebs	Mięso kraba, gotowane	krab
Lobster, cooked	Hummer, gegart	Hummer	Homar, gotowany	homar
Scallops, raw	Jakobsmuscheln, roh	Kammmuscheln	Przegrzebki, surowe	małże świętego Jakuba
Mussels, cooked	Miesmuscheln, gegart	Muscheln	Małże, gotowane	omułki; małże
Octopus, cooked	Oktopus, gegart	Tintenfisch; Krake	Ośmiornica, gotowana	ośmiornica
Whey protein isolate powder	Whey-Protein-Isolat	Molkenprotein Isolat; Eiweißpulver; Proteinpulver; Proteinshake; Shake	Izolat białka serwatkowego	odżywka białkowa; białko serwatkowe; WPI
Whey protein concentrate powder	Whey-Protein-Konzentrat	Molkenprotein; Proteinpulver; Eiweißpulver	Koncentrat białka serwatkowego	WPC; białko serwatkowe; odżywka białkowa
Casein protein powder	Casein-Protein	Kasein; Nachtprotein	Kazeina	białko kazeinowe
Pea protein powder	Erbsenprotein	Erbsenproteinpulver	Białko grochu	izolat białka grochu
Soy protein isolate powder	Sojaprotein-Isolat	Sojaeiweiß	Izolat białka sojowego	białko sojowe
Collagen peptides	Kollagenpeptide	Kollagen	Peptydy kolagenowe	kolagen
Protein bar, typical	Proteinriegel	Eiweißriegel	Baton proteinowy	baton białkowy
Nutritional yeast	Nährhefe	Hefeflocken; Edelhefe	Płatki drożdżowe	drożdże nieaktywne
Tofu, firm	Tofu, fest	Tofu	Tofu, twarde	tofu
Tofu, silken	Seidentofu	Tofu weich	Tofu jedwabiste	tofu miękkie
Tempeh	Tempeh		Tempeh
Seitan	Seitan	Weizeneiweiß	Seitan	białko pszenne
Edamame, shelled, cooked	Edamame, gegart	grüne Sojabohnen	Edamame, gotowane	zielona soja
Soybeans, cooked	Sojabohnen, gegart	Soja	Soja, gotowana	ziarna soi
Lentils, cooked	Linsen, gegart	Linsen gekocht	Soczewica, gotowana	soczewica
Lentils, dry	Linsen, trocken	rohe Linsen	Soczewica, sucha	soczewica surowa
Chickpeas, cooked	Kichererbsen, gegart	Kichererbsen	Ciecierzyca, gotowana	ciecierzyca; cieciorka
Chickpeas, canned, drained	Kichererbsen aus der Dose	Kichererbsen Dose	Ciecierzyca z puszki	ciecierzyca konserwowa
Black beans, cooked	Schwarze Bohnen, gegart	schwarze Bohnen	Czarna fasola, gotowana	fasola czarna
Kidney beans, cooked	Kidneybohnen, gegart	rote Bohnen	Fasola czerwona, gotowana	fasola kidney; czerwona fasola
Hummus, commercial	Hummus	Kichererbsenpaste	Hummus	humus; pasta z ciecierzycy
Soy milk, plain, unfortified	Sojamilch, natur	Sojadrink	Mleko sojowe	napój sojowy
Oat milk	Hafermilch	Haferdrink	Mleko owsiane	napój owsiany
Almond milk, unsweetened	Mandelmilch, ungesüßt	Mandeldrink	Mleko migdałowe, niesłodzone	napój migdałowy
Peanut butter, smooth	Erdnussbutter	Erdnussmus	Masło orzechowe	masło z orzechów arachidowych
Peanuts, dry-roasted	Erdnüsse, geröstet	Erdnüsse	Orzeszki ziemne, prażone	orzeszki ziemne; fistaszki; orzechy arachidowe
Almonds	Mandeln	Mandel	Migdały	migdał
Cashews, raw	Cashewkerne, roh	Cashews; Cashewnüsse	Nerkowce, surowe	orzechy nerkowca; nerkowiec
Walnuts	Walnüsse	Baumnüsse	Orzechy włoskie	orzech włoski
Pistachios, raw	Pistazien, roh	Pistazien	Pistacje, surowe	pistacje
Pumpkin seeds	Kürbiskerne	Kürbissamen	Pestki dyni	nasiona dyni
Sunflower seeds	Sonnenblumenkerne		Nasiona słonecznika	pestki słonecznika; słonecznik
Chia seeds	Chiasamen	Chia	Nasiona chia	chia
Hemp seeds, hulled	Hanfsamen, geschält	Hanfnüsse	Nasiona konopi, łuskane	konopie
Flaxseed, ground	Leinsamen, gemahlen	Leinsamen	Siemię lniane, mielone	siemię lniane; len
Oats, rolled, dry	Haferflocken, trocken	Hafer; Haferflocken	Płatki owsiane, suche	płatki owsiane; owies
Oatmeal, cooked with water	Haferbrei, gekocht	Porridge; Haferschleim	Owsianka, na wodzie	owsianka
Bread, whole wheat	Vollkornbrot	Vollkornweizenbrot; Brot	Chleb pełnoziarnisty	chleb razowy; chleb
Bread, white	Weißbrot	Toastbrot; Brot	Chleb pszenny (biały)	biały chleb; chleb
Tortilla, flour	Weizentortilla	Tortilla; Wrap	Tortilla pszenna	tortilla; placek
Rice, white, long-grain, cooked	Reis, weiß, gekocht	Langkornreis; Reis	Ryż biały, ugotowany	ryż; ryż długoziarnisty
Rice, brown, long-grain, cooked	Naturreis, gekocht	brauner Reis; Vollkornreis	Ryż brązowy, ugotowany	ryż brązowy; ryż
Pasta, cooked	Nudeln, gekocht	Pasta; Spaghetti	Makaron, ugotowany	makaron; spaghetti
Pasta, dry	Nudeln, trocken	Pasta roh; Spaghetti trocken	Makaron, suchy	makaron surowy
Quinoa, cooked	Quinoa, gekocht	Quinoa	Komosa ryżowa (quinoa), ugotowana	quinoa; komosa
Couscous, cooked	Couscous, gekocht	Kuskus	Kuskus, ugotowany	kuskus; couscous
Bulgur, cooked	Bulgur, gekocht	Bulgur	Bulgur, ugotowany	kasza bulgur
Buckwheat groats, cooked	Buchweizen, gekocht	Buchweizengrütze	Kasza gryczana, ugotowana	gryka; kasza gryczana
Potato, boiled in skin	Kartoffeln, gekocht	Pellkartoffeln; Kartoffel	Ziemniaki, gotowane	ziemniaki; kartofle
Sweet potato, baked	Süßkartoffel, gebacken	Batate	Batat, pieczony	bataty; słodki ziemniak
Pizza, cheese, regular crust	Pizza Margherita (Käse)	Käsepizza; Pizza	Pizza z serem	pizza; margherita
Broccoli, raw	Brokkoli, roh	Brokkoli	Brokuły, surowe	brokuły; brokuł
Spinach, raw	Spinat, roh	Spinat	Szpinak, surowy	szpinak
Kale, raw	Grünkohl, roh	Grünkohl	Jarmuż, surowy	jarmuż
Green peas, cooked	Erbsen, gegart	grüne Erbsen	Groszek zielony, gotowany	groszek; groch zielony
Brussels sprouts, cooked	Rosenkohl, gegart	Rosenkohl	Brukselka, gotowana	brukselka
Asparagus, cooked	Spargel, gegart	Spargel	Szparagi, gotowane	szparagi
Mushrooms, white, raw	Champignons, roh	Pilze; weiße Champignons	Pieczarki, surowe	pieczarki; grzyby
Sweet corn, cooked	Zuckermais, gegart	Mais	Kukurydza cukrowa, gotowana	kukurydza
Avocado	Avocado		Awokado	avocado
Banana	Banane		Banan	banany
Apple, with skin	Apfel, mit Schale	Apfel	Jabłko, ze skórką	jabłko; jabłka
Blueberries	Heidelbeeren	Blaubeeren	Borówki amerykańskie	borówki; jagody
